DATE,count,Temperature,Visibility,Cloud Cover,humidity,Conditions,DJI,Precipitation,Snow,snow_depth,wind_speed,DAY_OF_WEEK,WEEKEND,DAY_OF_MONTH,YEAR,MONTH,UNEMPLOY_RATE,fed_holiday,gov_holiday,nonpub_holiday,reg_holiday,race_label,BCG,BSX,EIX,JHI,MPGSX,STT,TJX,TMO,UNEMPLOY_RATE_7,JHI_7,MPGSX_7,TJX_7,TMO_7,BSX_7,EIX_7,STT_7,BCG_7,count_lag,Temperature_lag,DJI_lag,UNEMPLOY_RATE_lag,Conditions_lag,Precipitation_lag,Snow_lag,JHI_lag,MPGSX_lag,TJX_lag,TMO_lag,JHI_7_lag,MPGSX_7_lag,TJX_7_lag,TMO_7_lag,BCG_7_lag,t
2021-08-05,7,67.1,6.2,99.5,88.55,"Rain, Overcast",35064.25,1.97,0.0,0.0,13.7,4,0,05,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,14100.0,44.650001525878906,54.03060531616211,18.162315368652344,16.18000030517578,86.91374206542969,68.07617950439453,541.8795776367188,5.085714285714286,18.207593645368302,16.005714552743093,67.70889282226562,536.572771344866,45.384286063058035,53.84472874232701,86.6072028023856,12971.42857142857,11.0,74.4,34838.16,5.0,Partially cloudy,0.0,0.0,18.210336685180664,15.920000076293945,67.45079803466797,533.2171020507812,18.182896205357142,15.972857202802386,67.75994110107422,532.875994001116,12185.714285714286,1045
2021-08-06,15,76.4,9.9,47.0,71.09,Partially cloudy,35208.51,0.0,0.0,0.0,13.7,5,0,06,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,13950.0,44.70000076293945,53.874080657958984,18.1815242767334,16.15999984741211,89.40721130371094,68.80081176757812,537.7332153320312,5.042857142857143,18.214454105922155,16.03285734994071,67.77979714529855,536.3144269670759,45.25571496146066,53.9243894304548,87.01308332170758,13207.142857142857,5.0,71.9,35116.4,5.0,Partially cloudy,0.0,0.0,18.277572631835938,16.040000915527344,68.4732437133789,536.5242309570312,18.18975693838937,15.981428827558245,67.83510044642857,533.8337315150669,12435.714285714286,1046
2021-08-07,14,80.9,9.9,80.0,61.23,Overcast,35101.85,0.0,0.0,0.0,15.9,6,1,07,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,14550.0,43.810001373291016,54.23604202270508,18.162315368652344,16.139999389648438,89.97345733642578,68.4236068725586,540.6906127929688,5.0,18.20759391784668,16.064285823277064,67.91876983642578,537.3820713588169,44.960000719342915,53.97190638950893,87.51830509730748,13528.57142857143,12.0,70.6,34792.67,5.0,"Rain, Overcast",0.03,0.0,18.248756408691406,16.09000015258789,66.75595092773438,538.4126586914062,18.20073345729283,15.991428783961705,67.74576241629464,535.348127092634,12707.142857142857,1047
2021-08-08,14,76.5,9.1,95.0,70.8,Overcast,35101.85,0.0,0.0,0.0,10.2,7,1,08,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,14550.0,43.810001373291016,54.23604202270508,18.162315368652344,16.139999389648438,89.97345733642578,68.4236068725586,540.6906127929688,5.0,18.200733729771205,16.09571429661342,68.05774252755302,538.4497157505581,44.66428647722517,54.01942334856306,88.02352687290737,13850.0,7.0,67.1,35064.25,5.0,"Rain, Overcast",1.97,0.0,18.162315368652344,16.18000030517578,68.07617950439453,541.8795776367188,18.207593645368302,16.005714552743093,67.70889282226562,536.572771344866,12971.42857142857,1048
2021-08-09,7,71.4,6.3,98.0,83.94,"Rain, Overcast",35101.85,1.11,0.0,0.0,12.7,1,0,09,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,14550.0,43.810001373291016,54.23604202270508,18.162315368652344,16.139999389648438,89.97345733642578,68.4236068725586,540.6906127929688,5.0,18.19387354169573,16.127142769949778,68.19671521868024,539.5173601422991,44.36857223510742,54.06694030761719,88.52874864850726,14171.42857142857,15.0,76.4,35208.51,5.0,Partially cloudy,0.0,0.0,18.1815242767334,16.15999984741211,68.80081176757812,537.7332153320312,18.214454105922155,16.03285734994071,67.77979714529855,536.3144269670759,13207.142857142857,1049
2021-08-10,17,70.5,8.6,95.0,84.56,"Rain, Overcast",35264.67,0.14,0.0,0.0,12.5,2,0,10,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,14550.0,42.650001525878906,54.66648864746094,18.191129684448242,16.079999923706055,90.67877960205078,70.90524291992188,539.9013671875,5.0,18.181524549211776,16.132856913975306,68.54414367675781,539.9998081752232,43.95571517944336,54.13542011805943,88.99139622279576,14285.714285714286,14.0,80.9,35101.85,5.0,Overcast,0.0,0.0,18.162315368652344,16.139999389648438,68.4236068725586,540.6906127929688,18.20759391784668,16.064285823277064,67.91876983642578,537.3820713588169,13528.57142857143,1050
2021-08-11,6,82.4,9.9,65.8,71.32,Partially cloudy,35484.97,0.0,0.0,0.0,18.2,3,0,11,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16600.0,43.630001068115234,55.89912414550781,18.22954750061035,16.049999237060547,91.40397644042969,71.44322967529297,536.7940063476562,5.0,18.17878041948591,16.1271424974714,69.21375492640904,539.768572126116,43.865715571812224,54.45406069074358,89.76058306012835,14692.857142857143,14.0,76.5,35101.85,5.0,Overcast,0.0,0.0,18.162315368652344,16.139999389648438,68.4236068725586,540.6906127929688,18.200733729771205,16.09571429661342,68.05774252755302,538.4497157505581,13850.0,1051
2021-08-12,6,84.6,9.9,54.9,66.86,Partially cloudy,35499.85,0.0,0.0,0.0,19.5,4,0,12,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16250.0,44.06999969482422,55.7915153503418,18.267967224121094,16.100000381469727,90.85758972167969,71.28382873535156,541.5399169921875,5.0,18.19387354169573,16.115713936941965,69.67199053083148,539.7200491768973,43.782858167375835,54.70561926705496,90.32398986816406,15000.0,7.0,71.4,35101.85,5.0,"Rain, Overcast",1.11,0.0,18.162315368652344,16.139999389648438,68.4236068725586,540.6906127929688,18.19387354169573,16.127142769949778,68.19671521868024,539.5173601422991,14171.42857142857,1052
2021-08-13,10,82.6,9.9,63.8,67.31,Partially cloudy,35515.38,0.0,0.0,0.0,13.7,5,0,13,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16400.0,44.33000183105469,55.76216506958008,18.277572631835938,16.149999618530273,90.19200897216797,70.22776794433594,544.1676635742188,5.0,18.20759473528181,16.11428533281599,69.87584141322544,540.6392560686384,43.73000117710659,54.975345611572266,90.43610382080078,15350.0,17.0,70.5,35264.67,5.0,"Rain, Overcast",0.14,0.0,18.191129684448242,16.079999923706055,70.90524291992188,539.9013671875,18.181524549211776,16.132856913975306,68.54414367675781,539.9998081752232,14285.714285714286,1053
2021-08-14,10,85.5,9.9,67.7,58.91,"Rain, Partially cloudy",35625.4,0.01,0.0,0.0,18.2,6,1,14,2021,8,5.0,0.0,0.0,0.0,0.0,ASSAULT,16750.0,44.65999984741211,56.03608322143555,18.267967224121094,16.190000534057617,89.46681213378906,70.08828735351562,553.9791259765625,5.0,18.22268785749163,16.12142835344587,70.11365291050502,542.537615094866,43.85142953055246,55.23249435424805,90.36372593470982,15664.285714285714,6.0,82.4,35484.97,5.0,Partially cloudy,0.0,0.0,18.22954750061035,16.049999237060547,71.44322967529297,536.7940063476562,18.17878041948591,16.1271424974714,69.21375492640904,539.768572126116,14692.857142857143,1054
